model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,3,kernel_size,11,5000,0.1396,0.13018561398737824
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,4,kernel_size,17,5000,0.088,0.0736234106848047
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,1,quality,80,5000,0.371,0.3643747673853079
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,2,quality,60,5000,0.369,0.36157593782879843
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,3,quality,40,5000,0.361,0.3544416200188685
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,4,quality,20,5000,0.3428,0.3365384202126143
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,clean,0,none,0.0,5000,0.7102,0.7092941304528368
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,1,sigma,0.03,5000,0.672,0.6698435238924336
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,2,sigma,0.06,5000,0.562,0.5660010879548429
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,3,sigma,0.12,5000,0.2762,0.2847163721970362
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,4,sigma,0.2,5000,0.0602,0.05801521318713522
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,1,sigma,0.8,5000,0.6522,0.6519596890940685
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,2,sigma,1.5,5000,0.534,0.538737088277203
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,3,sigma,2.5,5000,0.3606,0.3678822555626825
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,4,sigma,4.0,5000,0.167,0.16399347085113547
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,1,kernel_size,3,5000,0.6414,0.6427831517170153
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,2,kernel_size,7,5000,0.4338,0.44110903928577383
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,3,kernel_size,11,5000,0.2346,0.2512060515409269
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,4,kernel_size,17,5000,0.0958,0.10571877803922218
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,1,quality,80,5000,0.694,0.6913778057046674
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,2,quality,60,5000,0.679,0.6776580220542288
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,3,quality,40,5000,0.6546,0.6520103513197262
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,4,quality,20,5000,0.5756,0.5755725699694353
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,clean,0,none,0.0,5000,0.3422,0.3372163604506715
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,1,sigma,0.03,5000,0.3106,0.30511405694727817
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,2,sigma,0.06,5000,0.2392,0.2310795678202424
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,3,sigma,0.12,5000,0.1096,0.10453198316481971
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,4,sigma,0.2,5000,0.0324,0.027489069315914466
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,1,sigma,0.8,5000,0.296,0.2936439714857519
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,2,sigma,1.5,5000,0.207,0.20669597278696802
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,3,sigma,2.5,5000,0.1146,0.10652965431548397
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,4,sigma,4.0,5000,0.0606,0.05201174537061142
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,1,kernel_size,3,5000,0.304,0.3021349074139708
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,2,kernel_size,7,5000,0.21,0.21100966617345435
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,3,kernel_size,11,5000,0.1546,0.15211006557332188
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,4,kernel_size,17,5000,0.1016,0.09368711790367802
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,1,quality,80,5000,0.3388,0.33387173134585535
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,2,quality,60,5000,0.3354,0.3295122073594022
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,3,quality,40,5000,0.328,0.32401493266789216
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,4,quality,20,5000,0.317,0.31222021417504914
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,clean,0,none,0.0,5000,0.777,0.7763511237175496
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,1,sigma,0.03,5000,0.7326,0.7313291284892807
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,2,sigma,0.06,5000,0.626,0.6292392785651694
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,3,sigma,0.12,5000,0.3644,0.3807038772803279
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,4,sigma,0.2,5000,0.1512,0.16481112973740378
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,1,sigma,0.8,5000,0.7316,0.7309061174794992
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,2,sigma,1.5,5000,0.622,0.6190217753486359
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,3,sigma,2.5,5000,0.438,0.43948533787043037
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_blur,4,sigma,4.0,5000,0.2206,0.22179772555572158
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,1,kernel_size,3,5000,0.7272,0.7262119627681382
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,2,kernel_size,7,5000,0.5462,0.5504041972353867
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,3,kernel_size,11,5000,0.3636,0.3733690213590422
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,motion_blur,4,kernel_size,17,5000,0.1892,0.1934989820021265
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,1,quality,80,5000,0.7588,0.7585887680238271
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,2,quality,60,5000,0.7356,0.7357816737902615
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,3,quality,40,5000,0.7118,0.7132004182800675
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,jpeg_compression,4,quality,20,5000,0.6256,0.6301644439902202
