epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.187961547851563,0.12,4.0830113998413085,0.27,0.0009890738003669028
2,3.8039409950256347,0.31655,3.671502696609497,0.3456,0.0009567727288213003
3,3.372994757080078,0.40465,3.50937077255249,0.3862,0.0009045084971874737
4,3.1147349857330324,0.4708,3.430400972747803,0.4058,0.0008345653031794292
5,2.9230692947387698,0.51675,3.3917771595001223,0.4108,0.00075
6,2.7682483406066893,0.5591,3.3525083683013914,0.4192,0.0006545084971874737
7,2.631475619506836,0.59705,3.340152363204956,0.4252,0.0005522642316338268
8,2.534349753189087,0.62375,3.320592227554321,0.4286,0.0004477357683661734
9,2.453308913421631,0.6509,3.316923787307739,0.43,0.0003454915028125264
10,2.3776796882629396,0.676,3.30052375869751,0.436,0.0002500000000000001
11,2.3270558193206785,0.68935,3.2925079410552978,0.4428,0.00016543469682057103
12,2.289528132247925,0.70015,3.2884387870788574,0.4392,9.549150281252631e-05
13,2.2523477489471437,0.71695,3.2858653190612794,0.4388,4.322727117869951e-05
14,2.236450974273682,0.7249,3.283891893005371,0.4394,1.0926199633097156e-05
15,2.2248473567962646,0.72355,3.283576089477539,0.4402,0.0
