model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop,relative_top1_retention,relative_f1_retention
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,2,kernel_size,7.0,5000,0.2858,0.2895482384841654,0.5206,0.5117729618528244,0.23479999999999995,0.222224723368659,0.5489819439108721,0.5657747869990709
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,3,kernel_size,11.0,5000,0.1638,0.1651671970106846,0.5206,0.5117729618528244,0.35679999999999995,0.3466057648421398,0.3146369573568959,0.3227352934252579
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,4,kernel_size,17.0,5000,0.0814,0.0756552170765473,0.5206,0.5117729618528244,0.4391999999999999,0.43611774477627707,0.15635804840568576,0.14782964852743474
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,jpeg_compression,1,quality,80.0,5000,0.5096,0.5002055686600537,0.5206,0.5117729618528244,0.010999999999999899,0.01156739319277067,0.9788705339992319,0.9773974124172328
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,jpeg_compression,2,quality,60.0,5000,0.5066,0.4983591468038739,0.5206,0.5117729618528244,0.013999999999999901,0.013413815048950506,0.9731079523626587,0.9737895198675852
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,jpeg_compression,3,quality,40.0,5000,0.4938,0.4870985926366851,0.5206,0.5117729618528244,0.026799999999999935,0.024674369216139302,0.9485209373799464,0.9517864931222467
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,jpeg_compression,4,quality,20.0,5000,0.4406,0.4365574068796569,0.5206,0.5117729618528244,0.07999999999999996,0.07521555497316751,0.8463311563580485,0.8530294474705016
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_noise,1,sigma,0.03,5000,0.354,0.3436057287948175,0.3724,0.3661628646305622,0.018400000000000027,0.0225571358357447,0.9505907626208377,0.9383958942463934
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_noise,2,sigma,0.06,5000,0.2708,0.262064546868702,0.3724,0.3661628646305622,0.10160000000000002,0.10409831776186018,0.7271750805585392,0.7157048739311958
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_noise,3,sigma,0.12,5000,0.108,0.1040855832770718,0.3724,0.3661628646305622,0.2644,0.2620772813534904,0.2900107411385607,0.2842603478703072
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_noise,4,sigma,0.2,5000,0.0264,0.0209045835074962,0.3724,0.3661628646305622,0.34600000000000003,0.345258281123066,0.07089151450053706,0.05709094374872709
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_blur,1,sigma,0.8,5000,0.3248,0.3188609985704748,0.3724,0.3661628646305622,0.04760000000000003,0.047301866060087405,0.8721804511278195,0.8708174131535367
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_blur,2,sigma,1.5,5000,0.2192,0.2153360710952243,0.3724,0.3661628646305622,0.1532,0.1508267935353379,0.5886143931256713,0.5880882303902836
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_blur,3,sigma,2.5,5000,0.1082,0.0996177433465749,0.3724,0.3661628646305622,0.2642,0.2665451212839873,0.2905477980665951,0.2720585645600179
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,gaussian_blur,4,sigma,4.0,5000,0.0516,0.0401430542513373,0.3724,0.3661628646305622,0.32080000000000003,0.3260198103792249,0.13856068743286787,0.10963169160214921
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,1,kernel_size,3.0,5000,0.342,0.3362823170139649,0.3724,0.3661628646305622,0.030399999999999983,0.02988054761659731,0.9183673469387755,0.9183954723351175
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,2,kernel_size,7.0,5000,0.2164,0.2113812066083896,0.3724,0.3661628646305622,0.156,0.15478165802217259,0.5810955961331902,0.5772873959287527
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,3,kernel_size,11.0,5000,0.1396,0.1301856139873782,0.3724,0.3661628646305622,0.2328,0.23597725064318398,0.3748657357679914,0.35554018870463067
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,motion_blur,4,kernel_size,17.0,5000,0.088,0.0736234106848047,0.3724,0.3661628646305622,0.2844,0.2925394539457575,0.2363050483351235,0.20106738775677482
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,1,quality,80.0,5000,0.371,0.3643747673853079,0.3724,0.3661628646305622,0.0014000000000000123,0.0017880972452543054,0.9962406015037594,0.9951166614149733
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,2,quality,60.0,5000,0.369,0.3615759378287984,0.3724,0.3661628646305622,0.003400000000000014,0.004586926801763813,0.9908700322234156,0.9874729874467424
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,3,quality,40.0,5000,0.361,0.3544416200188685,0.3724,0.3661628646305622,0.011400000000000021,0.011721244611693715,0.9693877551020408,0.9679889859297452
ResNet18 random,inat_resnet18_500_npclasses_imagenet.pth,resnet18,jpeg_compression,4,quality,20.0,5000,0.3428,0.3365384202126143,0.3724,0.3661628646305622,0.029600000000000015,0.02962444441794787,0.9205155746509129,0.9190948966170087
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,1,sigma,0.03,5000,0.672,0.6698435238924336,0.7102,0.7092941304528368,0.03820000000000001,0.03945060656040322,0.9462123345536468,0.9443804694461285
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,2,sigma,0.06,5000,0.562,0.5660010879548429,0.7102,0.7092941304528368,0.1482,0.1432930424979939,0.7913263869332583,0.7979779666208279
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,3,sigma,0.12,5000,0.2762,0.2847163721970362,0.7102,0.7092941304528368,0.43400000000000005,0.42457775825580063,0.38890453393410307,0.40140804776611344
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_noise,4,sigma,0.2,5000,0.0602,0.0580152131871352,0.7102,0.7092941304528368,0.65,0.6512789172657016,0.08476485497043085,0.08179288492081045
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,1,sigma,0.8,5000,0.6522,0.6519596890940685,0.7102,0.7092941304528368,0.05800000000000005,0.05733444135876831,0.9183328639819769,0.9191669028444319
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,2,sigma,1.5,5000,0.534,0.538737088277203,0.7102,0.7092941304528368,0.17620000000000002,0.17055704217563383,0.7519008729935229,0.7595397524765296
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,3,sigma,2.5,5000,0.3606,0.3678822555626825,0.7102,0.7092941304528368,0.3496000000000001,0.34141187489015434,0.5077442973810193,0.5186596642606
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,gaussian_blur,4,sigma,4.0,5000,0.167,0.1639934708511354,0.7102,0.7092941304528368,0.5432,0.5453006596017015,0.23514502956913544,0.23120658103632766
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,1,kernel_size,3.0,5000,0.6414,0.6427831517170153,0.7102,0.7092941304528368,0.06880000000000008,0.06651097873582157,0.9031258800337932,0.906229340015321
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,2,kernel_size,7.0,5000,0.4338,0.4411090392857738,0.7102,0.7092941304528368,0.27640000000000003,0.26818509116706307,0.6108138552520417,0.6218986177203457
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,3,kernel_size,11.0,5000,0.2346,0.2512060515409269,0.7102,0.7092941304528368,0.4756,0.45808807891190995,0.3303294846522106,0.35416344328205374
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,motion_blur,4,kernel_size,17.0,5000,0.0958,0.1057187780392221,0.7102,0.7092941304528368,0.6144000000000001,0.6035753524136147,0.13489157983666572,0.1490478681555249
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,1,quality,80.0,5000,0.694,0.6913778057046674,0.7102,0.7092941304528368,0.016200000000000103,0.0179163247481694,0.9771895240777244,0.9747406273660674
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,2,quality,60.0,5000,0.679,0.6776580220542288,0.7102,0.7092941304528368,0.031200000000000006,0.03163610839860809,0.9560687130385807,0.9553977580804024
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,3,quality,40.0,5000,0.6546,0.6520103513197262,0.7102,0.7092941304528368,0.055600000000000094,0.05728377913311067,0.9217121937482398,0.9192383291025702
ResNet18 pretrained,inat_resnet18_500_ptclasses_imagenet.pth,resnet18,jpeg_compression,4,quality,20.0,5000,0.5756,0.5755725699694353,0.7102,0.7092941304528368,0.13460000000000005,0.13372156048340156,0.8104759222754153,0.8114723430771529
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,1,sigma,0.03,5000,0.3106,0.3051140569472781,0.3422,0.3372163604506715,0.03160000000000002,0.03210230350339338,0.9076563413208649,0.904802058060023
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,2,sigma,0.06,5000,0.2392,0.2310795678202424,0.3422,0.3372163604506715,0.10300000000000001,0.1061367926304291,0.6990064289888953,0.685256099411716
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,3,sigma,0.12,5000,0.1096,0.1045319831648197,0.3422,0.3372163604506715,0.2326,0.23268437728585178,0.32028053769725306,0.30998491005928164
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_noise,4,sigma,0.2,5000,0.0324,0.0274890693159144,0.3422,0.3372163604506715,0.3098,0.3097272911347571,0.09468147282291058,0.08151760276155268
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,1,sigma,0.8,5000,0.296,0.2936439714857519,0.3422,0.3372163604506715,0.04620000000000002,0.043572388964919606,0.8649912331969608,0.8707880338110302
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,2,sigma,1.5,5000,0.207,0.206695972786968,0.3422,0.3372163604506715,0.13520000000000001,0.1305203876637035,0.6049094097019286,0.61294764142146
