model,clean_top1_accuracy,clean_macro_f1,mean_corrupted_top1,mean_corrupted_macro_f1,mean_top1_drop,mean_macro_f1_drop,mean_relative_top1_retention,mean_relative_f1_retention,absolute_robustness_rank,relative_robustness_rank
ResNet50 pretrained,0.777,0.7763511237175496,0.534025,0.5374071148609711,0.242975,0.2389440088565784,0.6872908622908622,0.6922217260246918,1,2
ResNet18 pretrained,0.7102,0.7092941304528368,0.4558125,0.45866152941547084,0.25438750000000004,0.250632601037366,0.6418086454519853,0.6466450372607004,2,3
AlexNet pretrained,0.5206,0.5117729618528244,0.32180000000000003,0.3181002507099951,0.19879999999999995,0.1936727111428293,0.6181329235497504,0.6215651752260298,3,6
ResNet18 random,0.3724,0.3661628646305622,0.2308,0.22331385021573907,0.1416,0.14284901441482312,0.6197636949516648,0.6098757459772722,4,5
ResNet50 random,0.3422,0.3372163604506715,0.2162125,0.21160355398873085,0.1259875,0.12561280646194067,0.6318308007013442,0.6275008534755968,5,4
AlexNet random,0.1616,0.1568416913311521,0.119675,0.11243253853973048,0.04192499999999999,0.04440915279142163,0.7405631188118812,0.7168536476844214,6,1
