epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1577552509307862,0.045,2.9893389701843263,0.095,0.009990133642141357
2,3.0574330425262453,0.06,2.938824148178101,0.105,0.009960573506572389
3,2.9207445907592775,0.1125,2.865120573043823,0.095,0.009911436253643442
4,2.8166970348358156,0.1575,2.926090269088745,0.12,0.009842915805643154
5,2.8140327644348146,0.1525,2.857619981765747,0.175,0.009755282581475767
6,2.710652847290039,0.1675,2.678729224205017,0.19,0.009648882429441256
7,2.595664825439453,0.225,2.7818939781188963,0.22,0.009524135262330098
8,2.569180974960327,0.2175,2.585653133392334,0.25,0.009381533400219317
9,2.491074867248535,0.2575,2.602500152587891,0.285,0.009221639627510075
10,2.479397315979004,0.28,2.625491781234741,0.21,0.009045084971874737
11,2.397508325576782,0.285,2.536269159317017,0.265,0.008852566213878947
12,2.323255710601807,0.295,2.7407230377197265,0.23,0.008644843137107058
13,2.3367670345306397,0.3475,2.5672871112823485,0.245,0.008422735529643444
14,2.3103844261169435,0.3225,2.616227626800537,0.24,0.00818711994874345
15,2.224313611984253,0.37,2.430062885284424,0.33,0.007938926261462368
16,2.192257966995239,0.345,2.634564881324768,0.225,0.007679133974894984
17,2.1332224464416503,0.3925,2.5123158931732177,0.325,0.007408768370508577
18,2.098675413131714,0.4025,2.924537477493286,0.25,0.0071288964578253644
19,2.0328990745544435,0.435,2.4986525058746336,0.285,0.0068406227634233915
20,1.9448315048217772,0.445,2.4308697986602783,0.325,0.006545084971874738
21,1.9164276695251465,0.4875,2.4525498390197753,0.315,0.006243449435824274
22,1.8746693420410157,0.4825,2.4468483352661132,0.345,0.005936906572928625
23,1.8214785385131835,0.5125,2.6642630290985108,0.3,0.005626666167821524
24,1.7884929704666137,0.56,2.6920190620422364,0.3,0.005313952597646569
25,1.7945571804046632,0.5325,2.497580060958862,0.345,0.005000000000000002
26,1.719622139930725,0.56,2.5114730739593507,0.345,0.004686047402353435
27,1.6877269744873047,0.5625,2.5155347394943237,0.305,0.004373333832178481
28,1.6822561073303222,0.58,2.4323169803619384,0.365,0.0040630934270713785
29,1.5895000076293946,0.625,2.3669383192062377,0.37,0.0037565505641757274
30,1.5758846855163575,0.6075,2.425642433166504,0.325,0.0034549150281252662
31,1.5774700927734375,0.6325,2.4602337789535524,0.37,0.0031593772365766134
32,1.4993242645263671,0.6475,2.54123646736145,0.37,0.0028711035421746384
33,1.4711563682556152,0.6625,2.3915880870819093,0.375,0.002591231629491424
34,1.4300236320495605,0.7075,2.5109200143814085,0.335,0.0023208660251050166
35,1.394289665222168,0.7275,2.4349396419525147,0.385,0.0020610737385376356
36,1.3922460794448852,0.73,2.4745038652420046,0.38,0.001812880051256552
37,1.35530029296875,0.7225,2.3872824335098266,0.41,0.001577264470356557
38,1.3055171012878417,0.7475,2.391710066795349,0.355,0.0013551568628929439
39,1.3261775875091553,0.7475,2.4274704551696775,0.355,0.0011474337861210548
40,1.2594972229003907,0.7825,2.402974910736084,0.4,0.0009549150281252636
41,1.2440494251251222,0.78,2.429916272163391,0.4,0.000778360372489926
42,1.2986883544921874,0.755,2.4498897314071657,0.395,0.0006184665997806823
43,1.2730733489990234,0.7475,2.4155260562896728,0.385,0.0004758647376699034
44,1.2080388832092286,0.79,2.402583646774292,0.4,0.0003511175705587434
45,1.2078826236724853,0.79,2.381234073638916,0.41,0.00024471741852423245
46,1.141673345565796,0.8375,2.3783810997009276,0.41,0.00015708419435684522
47,1.200442910194397,0.8175,2.385035638809204,0.405,8.856374635655642e-05
48,1.1853713512420654,0.8425,2.40273654460907,0.39,3.942649342761119e-05
49,1.157684555053711,0.8275,2.4044599628448484,0.395,9.866357858642208e-06
50,1.1811741590499878,0.8025,2.4022686767578123,0.39,0.0
